,Datetime,AEP_MW
0,2023-02-10 07:44:06,16.50
1,2023-02-10 07:44:18,16.60
2,2023-02-10 07:44:31,16.60
3,2023-02-10 07:44:43,16.60
4,2023-02-10 07:44:56,16.70
5,2023-02-10 07:45:09,16.60
6,2023-02-10 07:45:21,16.60
7,2023-02-10 07:45:34,16.60
8,2023-02-10 07:45:46,16.60
9,2023-02-10 07:45:59,16.60
10,2023-02-10 07:46:12,16.50
11,2023-02-10 07:46:24,16.60
12,2023-02-10 07:46:37,16.70
13,2023-02-10 07:46:49,16.60
14,2023-02-10 07:47:02,16.70
15,2023-02-10 07:47:15,16.70
16,2023-02-10 07:47:27,16.80
17,2023-02-10 07:47:40,16.80
18,2023-02-10 07:47:52,16.90
19,2023-02-10 07:48:05,16.80
20,2023-02-10 07:48:17,16.80
21,2023-02-10 07:48:30,16.90
22,2023-02-10 07:48:43,16.70
23,2023-02-10 07:48:55,16.70
24,2023-02-10 07:49:08,16.80
25,2023-02-10 07:49:26,16.80
26,2023-02-10 07:49:38,16.70
27,2023-02-10 07:49:51,16.80
28,2023-02-10 07:50:03,16.80
29,2023-02-10 07:50:16,16.80
30,2023-02-10 07:50:28,16.70
31,2023-02-10 07:50:41,16.80
32,2023-02-10 07:50:54,16.80
33,2023-02-10 07:51:06,16.80
34,2023-02-10 07:51:19,16.90
35,2023-02-10 07:51:31,17.00
36,2023-02-10 07:51:44,17.00
37,2023-02-10 07:51:57,16.90
38,2023-02-10 07:52:09,17.00
39,2023-02-10 07:52:22,17.00
40,2023-02-10 07:52:35,16.90
41,2023-02-10 07:52:47,16.60
42,2023-02-10 07:53:00,16.70
43,2023-02-10 07:53:12,16.70
44,2023-02-10 07:53:25,16.70
45,2023-02-10 07:53:38,16.70
46,2023-02-10 07:53:50,16.80
47,2023-02-10 07:54:03,16.80
48,2023-02-10 07:54:15,16.80
49,2023-02-10 07:54:28,16.80
50,2023-02-10 07:54:40,16.80
51,2023-02-10 07:54:53,16.80
52,2023-02-10 07:55:06,16.80
53,2023-02-10 07:55:18,16.90
54,2023-02-10 07:55:31,16.90
55,2023-02-10 07:55:43,16.90
56,2023-02-10 07:55:56,16.80
57,2023-02-10 07:56:09,16.70
58,2023-02-10 07:56:26,16.80
59,2023-02-10 07:56:38,16.80
60,2023-02-10 07:56:51,16.80
61,2023-02-10 07:57:03,16.80
62,2023-02-10 07:57:16,16.80
63,2023-02-10 07:57:29,16.80
64,2023-02-10 07:57:41,16.90
65,2023-02-10 07:57:54,16.80
66,2023-02-10 07:58:10,16.90
67,2023-02-10 07:58:23,16.90
68,2023-02-10 07:58:40,16.80
69,2023-02-10 07:58:53,16.80
70,2023-02-10 07:59:06,16.80
71,2023-02-10 07:59:28,16.80
72,2023-02-10 07:59:40,16.80
73,2023-02-10 07:59:53,16.90
74,2023-02-10 08:00:05,16.80
75,2023-02-10 08:00:18,16.90
76,2023-02-10 08:00:31,16.90
77,2023-02-10 08:00:43,16.90
78,2023-02-10 08:00:56,16.90
79,2023-02-10 08:01:08,16.80
80,2023-02-10 08:01:21,16.90
81,2023-02-10 08:01:34,16.90
82,2023-02-10 08:01:46,16.90
83,2023-02-10 08:01:59,16.90
84,2023-02-10 08:02:11,16.90
85,2023-02-10 08:02:24,17.00
86,2023-02-10 08:18:38,16.00
87,2023-02-10 08:18:50,16.00
88,2023-02-10 08:19:03,16.10
89,2023-02-10 08:19:16,16.00
90,2023-02-10 08:19:28,16.00
91,2023-02-10 08:19:41,16.00
92,2023-02-10 08:19:54,16.00
93,2023-02-10 08:20:06,16.00
94,2023-02-10 08:20:19,16.00
95,2023-02-10 08:20:31,16.00
96,2023-02-10 08:20:44,16.00
97,2023-02-10 08:21:02,16.00
98,2023-02-10 08:21:14,16.10
99,2023-02-10 08:21:27,16.10
100,2023-02-10 08:21:39,16.00
101,2023-02-10 08:21:52,16.00
102,2023-02-10 08:22:05,16.00
103,2023-02-10 08:22:17,16.00
104,2023-02-10 08:22:30,16.00
105,2023-02-10 08:22:42,16.00
106,2023-02-10 08:22:55,16.00
107,2023-02-10 08:23:08,16.00
108,2023-02-10 08:23:20,16.10
109,2023-02-10 08:23:33,16.10
110,2023-02-10 08:23:45,16.00
111,2023-02-10 08:23:58,16.10
112,2023-02-10 08:24:11,16.00
113,2023-02-10 08:24:23,16.10
114,2023-02-10 08:24:36,16.00
115,2023-02-10 08:24:58,15.90
116,2023-02-10 08:25:11,15.90
117,2023-02-10 08:25:23,16.00
118,2023-02-10 08:25:36,16.00
119,2023-02-10 08:25:48,16.00
120,2023-02-10 08:26:01,15.90
121,2023-02-10 08:26:14,15.90
122,2023-02-10 08:26:26,15.90
123,2023-02-10 08:26:39,15.90
124,2023-02-10 08:26:51,15.90
125,2023-02-10 08:27:04,15.90
126,2023-02-10 08:27:17,15.90
127,2023-02-10 08:27:29,15.90
128,2023-02-10 08:27:42,15.90
129,2023-02-10 08:27:54,15.80
130,2023-02-10 08:28:07,15.90
131,2023-02-10 08:28:20,15.90
132,2023-02-10 08:28:32,16.00
133,2023-02-10 08:28:45,15.90
134,2023-02-10 08:28:57,15.90
135,2023-02-10 08:29:10,15.90
136,2023-02-10 08:29:23,15.90
137,2023-02-10 08:29:35,15.90
138,2023-02-10 08:29:48,15.90
139,2023-02-10 08:30:00,15.90
140,2023-02-10 08:30:13,16.00
141,2023-02-10 08:30:26,15.90
142,2023-02-10 08:30:38,16.00
143,2023-02-10 08:30:51,15.90
144,2023-02-10 08:31:03,15.90
145,2023-02-10 08:31:16,15.90
146,2023-02-10 08:31:29,15.90
147,2023-02-10 08:31:41,15.90
148,2023-02-10 08:31:54,16.00
149,2023-02-10 08:32:06,15.90
150,2023-02-10 08:32:19,15.90
151,2023-02-10 08:32:32,15.90
152,2023-02-10 08:32:44,15.90
153,2023-02-10 08:32:57,16.30
154,2023-02-10 08:33:09,16.30
155,2023-02-10 08:33:22,16.20
156,2023-02-10 08:33:35,16.20
157,2023-02-10 08:33:47,16.20
158,2023-02-10 08:34:00,16.20
159,2023-02-10 08:34:12,16.20
160,2023-02-10 08:34:25,16.30
161,2023-02-10 08:34:38,16.30
162,2023-02-10 08:34:50,16.30
163,2023-02-10 08:35:03,16.20
164,2023-02-10 08:35:20,16.20
165,2023-02-10 08:35:33,16.20
166,2023-02-10 08:35:46,16.30
167,2023-02-10 08:35:58,16.20
168,2023-02-10 08:36:11,16.20
169,2023-02-10 08:36:23,16.20
170,2023-02-10 08:36:36,16.20
171,2023-02-10 08:36:49,16.20
172,2023-02-10 08:37:01,16.30
173,2023-02-10 08:37:14,16.20
174,2023-02-10 08:37:26,16.20
175,2023-02-10 08:37:39,16.20
176,2023-02-10 08:37:52,16.20
177,2023-02-10 08:38:13,16.20
178,2023-02-10 08:38:25,16.20
179,2023-02-10 08:38:38,16.20
180,2023-02-10 08:38:51,16.10
181,2023-02-10 08:39:03,16.20
